index:1;(0.0, -1.0, 0.0, 1.0)
index:2;(0.2, -0.9, 0.3, 1.0)
index:3;(0.3, -0.9, 0.0, 1.0)
index:4;(0.2, -0.9, -0.3, 1.0)
index:5;(-0.3, -0.9, 0.0, 1.0)
index:6;(-0.2, -0.9, -0.3, 1.0)
index:7;(-0.2, -0.9, 0.3, 1.0)
index:8;(0.5, -0.9, 0.0, 1.0)
index:9;(0.4, -0.8, 0.3, 1.0)
index:10;(0.0, -0.8, 0.5, 1.0)
index:11;(0.4, -0.8, -0.3, 1.0)
index:12;(0.3, -0.8, 0.5, 1.0)
index:13;(0.0, -0.8, -0.5, 1.0)
index:14;(-0.4, -0.8, -0.3, 1.0)
index:15;(-0.5, -0.9, 0.0, 1.0)
index:16;(0.3, -0.8, -0.5, 1.0)
index:17;(-0.4, -0.8, 0.3, 1.0)
index:18;(-0.3, -0.8, -0.5, 1.0)
index:19;(-0.3, -0.8, 0.5, 1.0)
index:20;(0.7, -0.7, 0.2, 1.0)
index:21;(0.7, -0.7, -0.2, 1.0)
index:22;(0.2, -0.7, 0.7, 1.0)
index:23;(0.6, -0.7, 0.4, 1.0)
index:24;(0.2, -0.7, -0.7, 1.0)
index:25;(-0.7, -0.7, -0.2, 1.0)
index:26;(-0.7, -0.7, 0.2, 1.0)
index:27;(-0.2, -0.7, -0.7, 1.0)
index:28;(0.6, -0.7, -0.4, 1.0)
index:29;(-0.6, -0.7, -0.4, 1.0)
index:30;(-0.2, -0.7, 0.7, 1.0)
index:31;(-0.6, -0.7, 0.4, 1.0)
index:32;(0.4, -0.6, 0.7, 1.0)
index:33;(0.4, -0.6, -0.7, 1.0)
index:34;(-0.4, -0.6, -0.7, 1.0)
index:35;(-0.4, -0.6, 0.7, 1.0)
index:36;(0.0, -0.5, 0.9, 1.0)
index:37;(0.0, -0.5, -0.9, 1.0)
index:38;(0.8, -0.5, 0.3, 1.0)
index:39;(0.8, -0.5, 0.0, 1.0)
index:40;(0.8, -0.5, -0.3, 1.0)
index:41;(-0.8, -0.5, -0.3, 1.0)
index:42;(-0.8, -0.5, 0.0, 1.0)
index:43;(-0.8, -0.5, 0.3, 1.0)
index:44;(0.3, -0.4, 0.8, 1.0)
index:45;(0.3, -0.4, -0.8, 1.0)
index:46;(0.7, -0.4, 0.6, 1.0)
index:47;(-0.3, -0.4, -0.8, 1.0)
index:48;(-0.3, -0.4, 0.8, 1.0)
index:49;(0.7, -0.4, -0.6, 1.0)
index:50;(-0.7, -0.4, -0.6, 1.0)
index:51;(-0.7, -0.4, 0.6, 1.0)
index:52;(0.5, -0.3, 0.8, 1.0)
index:53;(0.5, -0.3, -0.8, 1.0)
index:54;(-0.5, -0.3, -0.8, 1.0)
index:55;(-0.5, -0.3, 0.8, 1.0)
index:56;(0.8, -0.3, 0.4, 1.0)
index:57;(0.9, -0.3, 0.2, 1.0)
index:58;(0.9, -0.3, -0.2, 1.0)
index:59;(0.8, -0.3, -0.4, 1.0)
index:60;(0.0, -0.3, -0.9, 1.0)
index:61;(-0.8, -0.3, -0.4, 1.0)
index:62;(-0.9, -0.3, -0.2, 1.0)
index:63;(0.0, -0.3, 0.9, 1.0)
index:64;(-0.9, -0.3, 0.2, 1.0)
index:65;(-0.8, -0.3, 0.4, 1.0)
index:66;(0.3, -0.2, 0.9, 1.0)
index:67;(0.7, -0.2, 0.7, 1.0)
index:68;(0.7, -0.2, -0.7, 1.0)
index:69;(0.3, -0.2, -0.9, 1.0)
index:70;(-0.3, -0.2, -0.9, 1.0)
index:71;(-0.7, -0.2, -0.7, 1.0)
